"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","4","6","0.6667","0.6667","False","given_pages,given_printers,answer,units","**Setup:** Given: 4 printers ? 480 pages in 6 minutes. Find: Time for 3 printers to make 720 pages. **Calculation:** Pages per minute = \( \frac{480}{4 \times 6} = \frac{480}{24} ="
"compute_printer_rate","math","memory","2","6","0.3333","0.3333","False","given_pages,units","**Setup:** - Four printers produce 480 pages in 6 minutes ? rate = \( \frac{480\text{ pages}}{6\text{ min}} = 80\text{ pages/min} \) per printer. - Three printers need to make 720 "
"compute_discount_tax","math","baseline","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","**Step 1:** Calculate the discount amount. Discount = $80 ? 25% = $80 ? 0.25 = **$20**. **Step 2:** Find the discounted price. Discounted Price = Original Price ? Discount = $80 ? "
"compute_discount_tax","math","memory","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","The task requires calculating a final price after two discounts and an additional tax. The recalled experience matches this scenario, so I will use it as the calculation method. Fi"
"compute_weighted_average","math","baseline","3","6","0.5","0.5","False","new_scores,count,average","The average of 5 tests is calculated by summing all scores (82 + 90 + 76) and dividing by the number of tests (5). Sum = 82 + 90 + 76 = 248. Average = 248 ? 5 = 49.6. Final answer:"
"compute_weighted_average","math","memory","6","6","1","1","False","old_total,new_scores,combined_total,count,answer,average","The three initial scores have an average of 82, so their sum is \(3 \times 82 = 246\). Adding the next two scores gives a total of \(246 + 90 + 76 = 412\) for five tests. Dividing "
"compute_inventory_available","math","baseline","3","6","0.5","0.5","False","start,received,reserved","**Arithmetic:** 150 (initial) ? 18 ? 4 = 126 126 + 65 = 191 191 ? 20 = **171 units** **Final answer:** 171 units."
"compute_inventory_available","math","memory","5","6","0.8333","0.8333","False","start,sold,received,reserved,answer","**Recalled experience:** The task is to calculate the number of units available after a series of operations starting from an initial stock. The calculation method uses simple arit"
"compute_schedule_finish","math","baseline","2","5","0.4","0.4","False","start_time,durations","The job starts at 9:15 AM. Phase 1 takes 45 minutes ? 9:60 AM (or 10:15 PM the previous day). Phase 2 takes 70 minutes ? 10:45 AM. Break is 10 minutes ? 10:55 AM. Phase 3 takes 35 "
"compute_schedule_finish","math","memory","2","5","0.4","0.4","False","start_time,durations","The job starts at 9:15 AM. Phase 1 lasts 45 minutes ? finishes at 9:60 AM (or 9:15 + 45 = 10:00 AM). Phase 2 lasts 70 minutes ? finishes at 10:30 AM (or 9:60 + 70 = 10:30 AM). Brea"
