"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","4","6","0.6667","0.6667","False","given_pages,given_printers,answer,units","**Setup:** Given: 4 printers ? 480 pages in 6 minutes. Find: Time for 3 printers to make 720 pages. **Calculation:** Pages per minute = \( \frac{480}{4 \times 6} = \frac{480}{24} ="
"compute_printer_rate","math","memory","4","6","0.6667","0.6667","False","given_pages,given_printers,per_printer_rate,units","**Setup:** 4 printers ? 480 pages in 6 min 1 printer ? 480 ? 4 = 120 pages per minute **Calculation for 3 printers to make 720 pages:** Pages needed: 720 Time required: 720 ? (3 ? "
"compute_discount_tax","math","baseline","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","**Step 1:** Calculate the discount amount. Discount = $80 ? 25% = $80 ? 0.25 = **$20**. **Step 2:** Find the discounted price. Discounted Price = Original Price ? Discount = $80 ? "
"compute_discount_tax","math","memory","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","**Step 1:** Apply discount to original price $80 ? (1 ? 0.25) = $60 **Step 2:** Add sales tax to discounted price $60 + ($60 ? 0.08) = $64.80 **Final answer:** $64.80"
"compute_weighted_average","math","baseline","3","6","0.5","0.5","False","new_scores,count,average","The average of 5 tests is calculated by summing all scores (82 + 90 + 76) and dividing by the number of tests (5). Sum = 82 + 90 + 76 = 248. Average = 248 ? 5 = 49.6. Final answer:"
"compute_weighted_average","math","memory","6","6","1","1","False","old_total,new_scores,combined_total,count,answer,average","**Setup:** - Initial scores: 3, with average = 82 ? sum of first 3 scores = 3 ? 82 = **246**. - Next two scores: 90 and 76 ? their sum = **166**. **Total sum for all 5 tests:** 246"
"compute_inventory_available","math","baseline","3","6","0.5","0.5","False","start,received,reserved","**Arithmetic:** 150 (initial) ? 18 ? 4 = 126 126 + 65 = 191 191 ? 20 = **171 units** **Final answer:** 171 units."
"compute_inventory_available","math","memory","6","6","1","1","False","start,sold,received,reserved,setup,answer","**Memory Pattern Applied:** ""Relevant remembered experiences, compressed into cognitive cues."" **Task Execution:** 1. Start with 150 units. 2. Sell 18 units/day ? 4 days = 72 units"
"compute_schedule_finish","math","baseline","2","5","0.4","0.4","False","start_time,durations","The job starts at 9:15 AM. Phase 1 takes 45 minutes ? 9:60 AM (or 10:00 PM the previous day). Phase 2 takes 70 minutes ? 10:30 AM. Break is 10 minutes ? 10:40 AM. Phase 3 takes 35 "
"compute_schedule_finish","math","memory","3","5","0.6","0.6","False","start_time,durations,total_minutes","**Task:** A job starts at 9:15 AM. Phase 1 takes 45 minutes, phase 2 takes 70 minutes, then there is a 10-minute break, and phase 3 takes 35 minutes. What time does it finish? **An"
