"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","4","6","0.6667","0.6667","False","given_pages,given_printers,answer,units","**Setup:** Given: 4 printers ? 480 pages in 6 minutes. We need to find time for 3 printers to make 720 pages. **Calculation:** 1. Pages per minute per printer = \( \frac{480}{4 \ti"
"compute_printer_rate","math","memory","4","6","0.6667","0.6667","False","given_pages,given_printers,answer,units","**Setup:** 4 printers ? 480 pages in 6 min. 1 printer rate = 480 / (4 ? 6) = 20 pages/min. **Calculation for 3 printers to make 720 pages:** Time needed = 720 pages ? (3 ? 20 pages"
"compute_discount_tax","math","baseline","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","**Step 1:** Calculate the discount amount. Discount = $80 ? 25% = $80 ? 0.25 = **$20**. **Step 2:** Find the discounted price. Discounted Price = Original Price ? Discount = $80 ? "
"compute_discount_tax","math","memory","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","The item costs $80. Discounted by 25%: $80 ? (1 - 0.25) = $60. Sales tax of 8% on the discounted price: $60 ? 0.08 = $4.80. Final price: $60 + $4.80 = $64.80."
"compute_weighted_average","math","baseline","5","6","0.8333","0.8333","False","new_scores,combined_total,count,answer,average","The average of 5 tests is calculated by summing all scores and dividing by 5. Sum = 82 + 90 + 76 + 82 + 82 = 412 Average = 412 ? 5 = 82.4 Final answer: 82.4"
"compute_weighted_average","math","memory","5","6","0.8333","0.8333","False","old_total,new_scores,combined_total,answer,average","The student has three test scores with an average of 82, so their total is \(3 \times 82 = 246\). The next two scores are 90 and 76, adding to \(166\). The total for five tests is "
"compute_inventory_available","math","baseline","5","6","0.8333","0.8333","False","start,sold,received,reserved,answer","**Arithmetic:** 150 (initial) ? 18 ? 4 = 150 ? 72 = **78** 78 + 65 = **143** 143 ? 20 = **123** **Final Answer:** The warehouse has **123 units** available."
"compute_inventory_available","math","memory","4","6","0.6667","0.6667","False","start,sold,received,reserved","150 - 18*4 + 65 - 20 = 137 units available."
"compute_schedule_finish","math","baseline","2","5","0.4","0.4","False","start_time,durations","The job starts at 9:15 AM. Phase 1 takes 45 minutes ? 9:60 AM. Phase 2 takes 70 minutes ? 10:30 AM. Break is 10 minutes ? 10:40 AM. Phase 3 takes 35 minutes ? 11:15 AM. Final answe"
"compute_schedule_finish","math","memory","5","5","1","1","False","start_time,durations,total_minutes,hour_rollover,answer","The job starts at 9:15 AM. Phase 1 takes 45 minutes, phase 2 takes 70 minutes, then there is a 10-minute break, and phase 3 takes 35 minutes. Total time = 45 + 70 + 10 + 35 = 160 m"
