task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_printer_rate,math,baseline,3,6,0.5,"given_pages,given_printers,units",58,124,0,58,126.59,67,- Setup: (4 printers × 480 pages) / 6 min = X printers × Y pages / Z min - Arithmetic: Solve for Z using proportion or direct calculation. - Units: Keep consistent throughout. - Fi
compute_printer_rate,math,primitive_cache,3,6,0.5,"given_pages,given_printers,units",306,525,244,62,40.707,220,- Setup: (480 pages / 6 min) * 3 printers = ? pages per minute for 3 printers; multiply by 720 pages to get total time. - Arithmetic: (480/6)=80 pages/min per printer; 80*3=240 pag
compute_printer_rate,math,routed_primitive_cache,2,6,0.3333,"given_pages,units",111,146,107,4,20.852,36,Three identical printers will take (720 * 6) / (480 * 3) = 90 minutes to make 720 pages.
compute_discount_tax,math,baseline,2,6,0.3333,"discount,tax",58,76,0,58,52.243,19,- Discounted Price = ? - Tax Amount = ? - Final Price = ?
compute_discount_tax,math,primitive_cache,6,6,1.0,"original_price,discount,discounted_price,tax,tax_amount,answer",306,410,244,62,44.071,105,- Setup: Original cost = $80; Discount rate = 25%; Sales tax rate = 8%. - Arithmetic: Discounted amount = $80 × (1 − 0.25) = $60; Taxable base = $60; Final price = $60 + ($60 × 0.0
compute_discount_tax,math,routed_primitive_cache,6,6,1.0,"original_price,discount,discounted_price,tax,tax_amount,answer",108,176,104,4,22.432,69,Item cost: $80 Discounted price: $80 - (25% of $80) = $60 Sales tax on discounted price: 8% of $60 = $4.80 Final price: $60 + $4.80 = $64.80
compute_weighted_average,math,baseline,4,6,0.6667,"old_total,new_scores,count,average",62,281,0,62,51.494,220,- Setup: Let x be the first score. Then (x + 82) / 3 = 82 → x = 146 - 82 = 64. Next two scores: 90 and 76. Total sum = 64 + 82*3 + 90 + 76 = 64 + 246 + 90 + 76 = 476. Average = 476
compute_weighted_average,math,primitive_cache,2,6,0.3333,"new_scores,average",310,426,244,66,46.558,117,"- Setup: Add the three known scores (82 + 90 + 76 = 248), divide by 3 to get the new average (248 ÷ 3 ≈ 82.67). - Arithmetic: 82 + 90 + 76 = 248; 248 ÷ 3 = 82.67. - Units: Points p"
compute_weighted_average,math,routed_primitive_cache,5,6,0.8333,"old_total,new_scores,combined_total,answer,average",113,223,109,4,20.09,111,The average across all five tests is calculated as follows: - Total score for the first three tests: \( 3 \times 82 = 246 \) - Total score for the last two tests: \( 90 + 76 = 166 
compute_inventory_available,math,baseline,5,6,0.8333,"start,sold,received,reserved,answer",68,174,0,68,58.926,107,- Initial inventory = 150 units - Sold in first 4 days = 18 × 4 = 72 units - Received after those 4 days = +65 units - Reserves before any further sales = –20 units (a reduction) -
compute_inventory_available,math,primitive_cache,3,6,0.5,"start,received,reserved",316,535,244,72,63.09,220,"I remember that inventory changes when sales happen, new stock arrives, and some is reserved before use. For daily sales, I multiply units sold by days to get total removed, then s"
compute_inventory_available,math,routed_primitive_cache,4,6,0.6667,"start,sold,received,reserved",112,171,108,4,21.471,60,"The warehouse has 150 - (18 * 4) + 65 - 20 = 97 units available after selling 18 units per day for 4 days, receiving 65 units, and reserving 20 units for a client."
compute_schedule_finish,math,baseline,0,5,0.0,,74,170,0,74,75.211,97,- Setup: The total duration of each phase plus breaks must be calculated in hours to match the starting time's format (minutes after midnight). - Arithmetic: Add all durations toge
compute_schedule_finish,math,primitive_cache,2,5,0.4,"start_time,durations",322,541,244,78,65.086,220,"I convert each phase into minutes since midnight, add them together, subtract the break, then give the total as hours plus leftover minutes after adding to a clock. Phase 1: 9:15 A"
compute_schedule_finish,math,routed_primitive_cache,2,5,0.4,"start_time,durations",132,308,128,4,21.362,177,"- Setup: Job starts at 9:15 AM. Phase 1 takes 45 minutes, phase 2 takes 70 minutes, then there is a 10-minute break, and phase 3 takes 35 minutes. - Arithmetic: Job starts at 9:15 "
compute_ratio_mixture,math,baseline,1,6,0.1667,ratio,53,272,0,53,53.278,220,"- Setup: Let C = liters of concentrate, W = liters of water. Ratio is 2:5 so C/W = 2/5 → C = (2/5)W. Total volume: C + W = 42 L. Substitute to solve for W then C. - Arithmetic: Sol"
