"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","2","6","0.3333","0.3333","False","given_pages,given_printers","**Setup:** Rate of one printer = \( \frac{480\text{ pages}}{6\text{ min}} = 80\text{ pages/min} \). For 3 printers, rate = \( 3 \times 80 = 240\text{ pages/min} \). Time to make 72"
"compute_printer_rate","math","memory","4","6","0.6667","0.6667","False","given_pages,given_printers,answer,units","**Setup:** 4 printers ? 480 pages in 6 min ? rate = 480/4 / 6 = 20 pages/min per printer. For 3 printers to make 720 pages at same rate: time = (720 ? 1) / (3 ? 20) = 12 minutes. *"
"compute_discount_tax","math","baseline","5","6","0.8333","0.8333","False","original_price,discount,discounted_price,tax,tax_amount","**Final Price:** $64 **Steps:** 1. Discounted price = $80 ? (1 ? 0.25) = $60 2. Sales tax = $60 ? 0.08 = $4.80 3. Final price = $60 + $4.80 = **$64** *Uncertainty:* The calculation"
"compute_discount_tax","math","memory","5","6","0.8333","0.8333","False","original_price,discount,discounted_price,tax,tax_amount","**Final Price:** $60.80 **Steps:** 1. Discounted price = $80 ? (1 ? 0.25) = $60 2. Tax applied to discounted price = $60 ? 0.08 = $4.80 3. Final price = $60 + $4.80 = **$60.80** **"
"compute_weighted_average","math","baseline","6","6","1","1","False","old_total,new_scores,combined_total,count,answer,average","**Setup:** Total sum of first three scores = \(3 \times 82 = 246\). Sum of all five scores = \(246 + 90 + 76 = 412\). Average across 5 tests = \(\frac{412}{5} = 82.4\)."
"compute_weighted_average","math","memory","5","6","0.8333","0.8333","False","old_total,new_scores,combined_total,answer,average","**Setup:** - Current average (3 scores): 82 ? sum = 3 ? 82 = 246 - Next two scores: 90 + 76 = 166 - New total sum = 246 + 166 = 412 - Number of tests now = 5 **Average:** 412 ? 5 ="
"compute_inventory_available","math","baseline","5","6","0.8333","0.8333","False","start,sold,received,reserved,answer","**Available Units:** 180 **Calculation:** Start with 150 units. - Sold: 18 ? 4 = 72 units ? Remaining after sales: 150 ? 72 = 78 units. - Received: +65 units ? 78 + 65 = 143 units."
"compute_inventory_available","math","memory","3","6","0.5","0.5","False","start,received,reserved","**Available Units:** 150 - (18 ? 4) + 65 - 20 = **137 units**. **Uncertainty/Next Action:** - If the client reserves 20 units, they may cancel or renegotiate. - Next action: Verify"
"compute_schedule_finish","math","baseline","1","5","0.2","0.2","False","durations","**Time:** 10:20 AM **Uncertainty:** None (all times are exact). **Next Action:** Confirm completion with supervisor if required."
"compute_schedule_finish","math","memory","1","5","0.2","0.2","False","durations","**Answer:** 9:40 AM **Uncertainty/Next Action:** - If a 10-minute break is taken at phase 2, finish time remains **9:40 AM**. - No further actions needed unless the task requires v"
"compute_ratio_mixture","math","baseline","2","6","0.3333","0.3333","False","ratio,total_check","**Concentrate:** 18 L **Water:** 24 L *Uncertainty:* The ratio is exact (2:5), so no additional uncertainty is needed. *Next Action:* Mix the concentrate and water in a container t"
"compute_ratio_mixture","math","memory","2","6","0.3333","0.3333","False","ratio,total_check","**Task:** A cleaning mix uses concentrate and water in a 2:5 ratio. If you need 42 liters total, how many liters of concentrate and water are needed? **Answer:** Concentrate: **18 "
"compute_average_speed","math","baseline","6","6","1","1","False","first_time,second_time,total_distance,total_time,answer,units","**Distance:** - First leg: 150 km at 60 km/h ? Time = Distance / Speed = 150 / 60 = **2.5 hours**. - Second leg: 90 km at 45 km/h ? Time = 90 / 45 = **2 hours**. **Total distance:*"
"compute_average_speed","math","memory","3","6","0.5","0.5","False","total_distance,answer,units","**Task:** A car travels 150 km at 60 km/h, then 90 km at 45 km/h. What is the average speed for the whole trip? Show distance, time, and final units. **Answer:** - **Distance:** 24"
"compute_linear_equation","math","baseline","4","5","0.8","0.8","False","expand,combine,add_12,divide","**Solution:** Expand and combine like terms: \[ 3(x - 4) + 2x = 46 \\ 3x - 12 + 2x = 46 \\ 5x - 12 = 46 \\ 5x = 58 \\ x = \frac{58}{5} = 11.6 \] **Uncertainty:** The equation is li"
"compute_linear_equation","math","memory","4","5","0.8","0.8","False","expand,combine,add_12,divide","**Task:** Solve for x: 3(x - 4) + 2x = 46. Show the algebra briefly. **Solution:** 1. Expand: 3x - 12 + 2x = 46 ? 5x - 12 = 46. 2. Add 12 to both sides: 5x = 58. 3. Divide by 5: x "
"compute_probability_without_replacement","math","baseline","1","6","0.1667","0.1667","False","without_replacement","**Probability (without replacement):** \[ P(\text{both red}) = \frac{5}{8} \times \frac{4}{7} = \frac{20}{56} = \frac{5}{14} \] **Uncertainty:** The result assumes the bag contains"
"compute_probability_without_replacement","math","memory","5","6","0.8333","0.8333","False","first_prob,second_prob,multiply,decimal,without_replacement","**Probability:** (5/8) ? (4/7) = 20/56 ? **35.7%** **Uncertainty & Next Action:** - *Assumption:* Balls are identical in color but distinct for counting purposes. - *Next step:* Ve"
"compute_ticket_table","math","baseline","4","5","0.8","0.8","False","team_a,team_b,total,compare","**Open Tickets Remaining:** Team A: \(12 - 7 + 5 = 10\) Team B: \(20 - 13 + 4 = 11\) **Total Open Tickets:** \(10 + 11 = 21\) **Which Team Has More?** Team B has more open tickets "
"compute_ticket_table","math","memory","4","5","0.8","0.8","False","team_a,team_b,total,compare","Team A: 12 - 7 + 5 = 10 open tickets Team B: 20 - 13 + 4 = 11 open tickets Total open tickets: 10 + 11 = 21 Team B has more (11 vs. 10)."
"compute_subscription_total","math","baseline","4","5","0.8","0.8","False","monthly,six_months,setup,answer","**Total Cost:** $19.99 ? 6 = $119.94 (monthly fees) + $14.95 (setup fee) ? $10 (credit) = **$124.89**. **Uncertainty:** The credit amount is fixed at $10, but if the subscription w"
"compute_subscription_total","math","memory","4","5","0.8","0.8","False","monthly,six_months,setup,answer","**Total Cost:** $19.99 ? 6 = $119.94 (monthly fees) + $14.95 (setup fee) ? $10 (credit) = **$124.89**. **Uncertainty:** None ? all values are given and fixed. **Next Action:** Calc"
