task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_printer_rate,math,baseline,3,6,0.5,"given_pages,given_printers,units",58,126,54,4,56.307,69,- Setup: (4 printers × 480 pages) / 6 min = X printers × Y pages / Z min - Arithmetic: Solve for Z using cross-multiplication or proportion. - Units: Keep consistent throughout. - 
compute_printer_rate,math,primitive_cache,3,6,0.5,"given_pages,given_printers,units",306,525,244,62,71.267,220,- Setup: (480 pages / 6 min) * 3 printers = ? pages per minute for 3 printers; multiply by 720 pages to get total time. - Arithmetic: (480/6)=80 pages/min per printer; 80*3=240 pag
compute_printer_rate,math,routed_primitive_cache,2,6,0.3333,"given_pages,units",111,141,107,4,27.364,31,Three identical printers will take (720 / 480) * 6 = 9 minutes to make 720 pages.
compute_discount_tax,math,baseline,2,6,0.3333,"discount,tax",58,76,54,4,29.022,19,- Discounted Price = ? - Tax Amount = ? - Final Price = ?
compute_discount_tax,math,primitive_cache,6,6,1.0,"original_price,discount,discounted_price,tax,tax_amount,answer",306,410,244,62,62.955,105,- Setup: Original cost = $80; Discount rate = 25%; Sales tax rate = 8%. - Arithmetic: Discounted amount = $80 × (1 − 0.25) = $60; Taxable base = $60; Final price = $60 + ($60 × 0.0
compute_discount_tax,math,routed_primitive_cache,6,6,1.0,"original_price,discount,discounted_price,tax,tax_amount,answer",108,176,104,4,24.739,69,Item cost: $80 Discounted price: $80 - (25% of $80) = $60 Sales tax on discounted price: 8% of $60 = $4.80 Final price: $60 + $4.80 = $64.80
compute_weighted_average,math,baseline,4,6,0.6667,"old_total,new_scores,count,average",62,205,58,4,25.061,144,"- Setup: Let x be the first score. Then (x + 82) / 3 = 82 → x = 146 - 82*3 = 146 - 246 = -100. So the five scores are -100, 82, 90, 76, and 82. Average = (-100 + 82 + 90 + 76 + 82)"
compute_weighted_average,math,primitive_cache,4,6,0.6667,"old_total,new_scores,combined_total,average",310,529,244,66,56.323,220,- Setup: (82 × 3) + 90 + 76 = ? - Arithmetic: 82 × 3 = ?; sum total = ? - Units: points per test - Final Answer: Average = ? <think> We need to compute the average of five test sco
compute_weighted_average,math,routed_primitive_cache,5,6,0.8333,"old_total,new_scores,combined_total,answer,average",113,193,109,4,20.933,81,"The sum of the first three scores is 3 × 82 = 246. Adding the last two gives a total of 246 + 90 + 76 = 412. Dividing this by five yields 412 ÷ 5 = 82.4. Thus, the overall average "
compute_inventory_available,math,baseline,5,6,0.8333,"start,sold,received,reserved,answer",68,176,64,4,20.612,109,- Initial stock = 150 units - Sold in first 4 days = 18 × 4 = 72 units → remaining after sales = 150 − 72 = 78 units - Received later = +65 units → now 78 + 65 = 143 units - Reserv
compute_inventory_available,math,primitive_cache,3,6,0.5,"start,received,reserved",316,535,244,72,66.335,220,"I remember that inventory changes when sales happen, new stock arrives, and some is reserved before use. For daily sales, I multiply units sold by days to get total removed, then s"
compute_inventory_available,math,routed_primitive_cache,4,6,0.6667,"start,sold,received,reserved",112,171,108,4,21.542,60,"The warehouse has 150 - (18 * 4) + 65 - 20 = 97 units available after selling 18 units per day for 4 days, receiving 65 units, and reserving 20 units for a client."
compute_schedule_finish,math,baseline,2,5,0.4,"start_time,durations",74,128,70,4,20.922,55,"A task begins at 9:15 AM. Step 1 lasts 60 seconds, step 2 lasts 80 seconds, then there is a 15-second pause, and step 3 lasts 45 seconds. When does it complete?"
compute_schedule_finish,math,primitive_cache,2,5,0.4,"start_time,durations",322,541,244,78,66.906,220,"I convert each phase into minutes since midnight, add them together, subtract the break, then give the total as hours plus leftover minutes after adding to a clock. Phase 1: 9:15 A"
compute_schedule_finish,math,routed_primitive_cache,2,5,0.4,"start_time,durations",132,308,128,4,21.846,177,"- Setup: Job starts at 9:15 AM. Phase 1 takes 45 minutes, phase 2 takes 70 minutes, then there is a 10-minute break, and phase 3 takes 35 minutes. - Arithmetic: Job starts at 9:15 "
compute_ratio_mixture,math,baseline,1,6,0.1667,ratio,53,148,49,4,20.985,96,"- Setup: Ratio = 2 parts concentrate : 5 parts water; Total volume = 42 L; Let x be part size; Concentrate = 2x, Water = 5x; Equation: 2x + 5x = 7x = 42 → x = 6; Concentrate = 12 L"
compute_ratio_mixture,math,primitive_cache,4,6,0.6667,"ratio,concentrate,water,total_check",301,486,244,57,47.14,186,"- Setup: Let C = concentrate (L), W = water (L). Ratio is C : W = 2 : 5 → C/W = 2/5. Total volume is C + W = 42 L. - Arithmetic: From C/W = 2/5 we get C = (2/5)W. Substitute into C"
compute_ratio_mixture,math,routed_primitive_cache,2,6,0.3333,"ratio,total_check",105,267,101,4,21.476,163,"- The required setup is that we have a 2:5 ratio between concentrate and water, meaning for every 2 parts of concentrate there are 5 parts of water. We also know that the total vol"
compute_average_speed,math,baseline,3,6,0.5,"total_distance,answer,units",65,196,61,4,21.017,132,- Time for first leg = Distance / Speed = 150 km ÷ 60 km/h = 2.5 h - Time for second leg = 90 km ÷ 45 km/h = 2 h - Total distance = 150 + 90 = 240 km - Total time = 2.5 + 2 = 4.5 h
compute_average_speed,math,primitive_cache,6,6,1.0,"first_time,second_time,total_distance,total_time,answer,units",313,389,244,69,65.543,77,- Distance = 150 + 90 = 240 km - Time = (150 / 60) + (90 / 45) = 2.5 + 2 = 4.5 hours - Average Speed = 240 / 4.5 ≈ 53.33 km/h
