substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
degraded_instruct,healthy_q6,cyb_25_str_75,6400,0.9255,0.7497,0.957,0.9892,0.0578,0.0342,0.1764,0.0498,0.7089,none
degraded_instruct,healthy_q6,cyb_40_str_60,6400,0.9205,0.7341,0.955,0.9872,0.0594,0.0517,0.1775,0.0542,0.689,none
degraded_instruct,healthy_q6,cyb_50_str_50,6400,0.92,0.7259,0.9541,0.9858,0.0589,0.0587,0.1802,0.0547,0.6794,none
degraded_instruct,healthy_q6,cyb_60_str_40,6400,0.917,0.7211,0.9517,0.9755,0.0567,0.0673,0.1728,0.0638,0.6736,none
degraded_instruct,healthy_q6,cyb_75_str_25,6400,0.8995,0.6869,0.9409,0.9641,0.0614,0.0834,0.1909,0.0906,0.632,none
degraded_instruct,healthy_q6,cyber_only,6400,0.7267,0.5544,0.8427,0.9056,0.0845,0.0875,0.2058,0.4697,0.4716,none
degraded_instruct,healthy_q6,structural_only,6400,0.9241,0.7583,0.9557,0.9875,0.0602,0.0144,0.1805,0.0491,0.7205,none
degraded_instruct,healthy_q6,tri_boundary_heavy,6400,0.9187,0.7139,0.9552,0.9898,0.0631,0.0664,0.1828,0.0466,0.6647,none
degraded_instruct,healthy_q6,tri_cognitive_bridge,6400,0.9223,0.7286,0.9559,0.9919,0.0612,0.0561,0.1852,0.048,0.6818,none
degraded_instruct,healthy_q6,tri_cognitive_heavy,6400,0.9217,0.713,0.9554,0.9892,0.0572,0.062,0.1964,0.0495,0.6652,none
degraded_instruct,healthy_q6,tri_cyber_heavy,6400,0.9191,0.6947,0.9544,0.9892,0.06,0.0905,0.1811,0.0541,0.6414,none
degraded_instruct,healthy_q6,tri_equal_routed,6400,0.9155,0.7023,0.9533,0.9892,0.0636,0.0739,0.195,0.0502,0.6504,none
degraded_instruct,healthy_q6,tri_naive_equal_all_fire,6400,0.8869,0.4875,0.9172,0.9908,0.0853,0.3197,0.2467,0.0467,0.3759,none
degraded_instruct,healthy_q6,tri_naive_structural_heavy_all_fire,6400,0.8939,0.4941,0.9212,0.9917,0.0755,0.3106,0.2364,0.048,0.388,none
degraded_instruct,healthy_q6,tri_structural_heavy_55,6400,0.9259,0.7338,0.9571,0.9917,0.0537,0.0528,0.1814,0.0542,0.6898,none
degraded_instruct,healthy_q6,tri_structural_heavy_60,6400,0.9328,0.7339,0.9587,0.9906,0.0517,0.0533,0.1816,0.0497,0.6907,none
degraded_instruct,healthy_q6,tri_structural_heavy_65,6400,0.9292,0.7348,0.9579,0.9892,0.0556,0.0494,0.1833,0.0452,0.6914,none
degraded_instruct,healthy_q8,baseline,6400,0.605,0.5311,0.7745,0.8523,0.0528,0.012,0.1581,0.8311,0.4586,none
degraded_instruct,healthy_q8,cog_25_cyb_75,6400,0.9183,0.7028,0.9478,0.9877,0.0466,0.0961,0.1777,0.1114,0.6498,none
degraded_instruct,healthy_q8,cog_25_str_75,6400,0.943,0.7959,0.9635,0.9912,0.0386,0.0227,0.1512,0.0583,0.7648,none
degraded_instruct,healthy_q8,cog_40_cyb_60,6400,0.9144,0.6973,0.9459,0.9886,0.0488,0.0883,0.1852,0.1161,0.6444,none
degraded_instruct,healthy_q8,cog_40_str_60,6400,0.9467,0.7898,0.9655,0.9911,0.0375,0.0277,0.1555,0.0478,0.7582,none
degraded_instruct,healthy_q8,cog_50_cyb_50,6400,0.9184,0.7064,0.9484,0.99,0.0469,0.0833,0.1828,0.1092,0.6556,none
degraded_instruct,healthy_q8,cog_50_str_50,6400,0.942,0.7734,0.9641,0.9891,0.0409,0.0398,0.1608,0.0448,0.7381,none
degraded_instruct,healthy_q8,cog_60_cyb_40,6400,0.9142,0.7075,0.9465,0.9895,0.0533,0.0747,0.1841,0.1086,0.6564,none
degraded_instruct,healthy_q8,cog_60_str_40,6400,0.9406,0.7683,0.9617,0.99,0.0422,0.0414,0.1655,0.0539,0.7314,none
degraded_instruct,healthy_q8,cog_75_cyb_25,6400,0.9142,0.7053,0.9461,0.9892,0.0523,0.0756,0.1895,0.11,0.6538,none
degraded_instruct,healthy_q8,cog_75_str_25,6400,0.935,0.7477,0.9604,0.9902,0.0466,0.0473,0.1734,0.052,0.7077,none
degraded_instruct,healthy_q8,cognitive_only,6400,0.8567,0.6895,0.9114,0.987,0.0519,0.0494,0.187,0.2922,0.6345,none
degraded_instruct,healthy_q8,cyb_25_str_75,6400,0.9444,0.7891,0.9655,0.9897,0.0381,0.0381,0.1448,0.0484,0.756,none
degraded_instruct,healthy_q8,cyb_40_str_60,6400,0.9433,0.7667,0.9642,0.99,0.038,0.0514,0.1578,0.0498,0.7299,none
degraded_instruct,healthy_q8,cyb_50_str_50,6400,0.938,0.7608,0.963,0.9892,0.0428,0.0594,0.1545,0.0483,0.7213,none
degraded_instruct,healthy_q8,cyb_60_str_40,6400,0.9359,0.7448,0.9621,0.99,0.0445,0.0689,0.1548,0.0509,0.7028,none
degraded_instruct,healthy_q8,cyb_75_str_25,6400,0.9323,0.7306,0.9593,0.9869,0.0475,0.0798,0.1648,0.0533,0.6846,none
degraded_instruct,healthy_q8,cyber_only,6400,0.8475,0.663,0.9082,0.9444,0.0495,0.0856,0.1731,0.258,0.6042,none
degraded_instruct,healthy_q8,structural_only,6400,0.9472,0.8003,0.9649,0.988,0.0334,0.0178,0.1541,0.053,0.7717,none
degraded_instruct,healthy_q8,tri_boundary_heavy,6400,0.9427,0.7531,0.9632,0.9902,0.0416,0.0644,0.1598,0.0494,0.7125,none
degraded_instruct,healthy_q8,tri_cognitive_bridge,6400,0.943,0.7569,0.9625,0.9889,0.0392,0.0592,0.1638,0.053,0.7175,none
degraded_instruct,healthy_q8,tri_cognitive_heavy,6400,0.9373,0.7339,0.961,0.9891,0.0431,0.0689,0.1705,0.0519,0.691,none
degraded_instruct,healthy_q8,tri_cyber_heavy,6400,0.9419,0.7339,0.9624,0.9898,0.0431,0.0839,0.1638,0.0495,0.6886,none
degraded_instruct,healthy_q8,tri_equal_routed,6400,0.9441,0.7459,0.9642,0.9898,0.0386,0.0747,0.1609,0.0483,0.7041,none
degraded_instruct,healthy_q8,tri_naive_equal_all_fire,6400,0.9008,0.4948,0.9227,0.99,0.0636,0.3264,0.2245,0.0542,0.3898,none
degraded_instruct,healthy_q8,tri_naive_structural_heavy_all_fire,6400,0.907,0.5305,0.9282,0.9897,0.0628,0.2991,0.2023,0.0488,0.4332,none
degraded_instruct,healthy_q8,tri_structural_heavy_55,6400,0.9441,0.7702,0.9652,0.9897,0.0375,0.0552,0.1506,0.0488,0.7334,none
degraded_instruct,healthy_q8,tri_structural_heavy_60,6400,0.9437,0.7789,0.9653,0.9927,0.0395,0.0466,0.1469,0.0502,0.7435,none
degraded_instruct,healthy_q8,tri_structural_heavy_65,6400,0.947,0.7803,0.9654,0.9902,0.037,0.0467,0.1473,0.05,0.7456,none
instruct,collapsed_q2_edge,baseline,6400,0.0,0.0,0.0093,0.1016,0.8389,0.0125,0.7209,4.827,-0.5532,cascade
instruct,collapsed_q2_edge,cog_25_cyb_75,6400,0.0019,0.0011,0.0384,0.308,0.7797,0.0813,0.6752,4.4917,-0.5277,cascade
instruct,collapsed_q2_edge,cog_25_str_75,6400,0.0453,0.0334,0.2084,0.4938,0.5353,0.0191,0.5931,3.0319,-0.33,cascade
instruct,collapsed_q2_edge,cog_40_cyb_60,6400,0.0017,0.0016,0.0372,0.2942,0.77,0.082,0.6573,4.5292,-0.5249,cascade
instruct,collapsed_q2_edge,cog_40_str_60,6400,0.0217,0.0161,0.147,0.4462,0.6002,0.0267,0.6498,3.4216,-0.3924,cascade
instruct,collapsed_q2_edge,cog_50_cyb_50,6400,0.0019,0.0016,0.0373,0.3019,0.7867,0.0739,0.7006,4.5325,-0.5319,cascade
instruct,collapsed_q2_edge,cog_50_str_50,6400,0.0163,0.0122,0.1231,0.4358,0.6344,0.0311,0.6611,3.6422,-0.4193,cascade
instruct,collapsed_q2_edge,cog_60_cyb_40,6400,0.0016,0.0011,0.0324,0.2934,0.7877,0.0741,0.6948,4.5705,-0.5341,cascade
instruct,collapsed_q2_edge,cog_60_str_40,6400,0.0091,0.0072,0.1008,0.4098,0.672,0.0377,0.6695,3.9009,-0.4506,cascade
instruct,collapsed_q2_edge,cog_75_cyb_25,6400,0.0014,0.0008,0.0319,0.2867,0.7898,0.0633,0.7052,4.6067,-0.5356,cascade
instruct,collapsed_q2_edge,cog_75_str_25,6400,0.0063,0.0048,0.0644,0.3633,0.7334,0.0431,0.685,4.253,-0.4913,cascade
instruct,collapsed_q2_edge,cognitive_only,6400,0.0017,0.0011,0.0193,0.2106,0.8197,0.0475,0.7434,4.7248,-0.55,cascade
instruct,collapsed_q2_edge,cyb_25_str_75,6400,0.0481,0.0381,0.2217,0.488,0.5383,0.0273,0.5575,2.897,-0.3183,cascade
instruct,collapsed_q2_edge,cyb_40_str_60,6400,0.0306,0.0213,0.1692,0.4578,0.5914,0.0417,0.5863,3.2328,-0.3731,cascade
instruct,collapsed_q2_edge,cyb_50_str_50,6400,0.022,0.017,0.1485,0.4544,0.6156,0.0469,0.5817,3.4167,-0.3944,cascade
instruct,collapsed_q2_edge,cyb_60_str_40,6400,0.0163,0.0123,0.1213,0.4183,0.6464,0.0537,0.6047,3.6541,-0.4234,cascade
instruct,collapsed_q2_edge,cyb_75_str_25,6400,0.0088,0.0052,0.0856,0.3837,0.7003,0.0747,0.6216,3.9692,-0.4681,cascade
instruct,collapsed_q2_edge,cyber_only,6400,0.0016,0.0011,0.0308,0.2542,0.7961,0.0778,0.6842,4.5855,-0.5373,cascade
instruct,collapsed_q2_edge,structural_only,6400,0.0364,0.028,0.184,0.4422,0.5683,0.0172,0.6072,3.1283,-0.3509,cascade
instruct,collapsed_q2_edge,tri_boundary_heavy,6400,0.0452,0.0336,0.2076,0.5033,0.5416,0.0611,0.5886,3.0273,-0.3395,cascade
instruct,collapsed_q2_edge,tri_cognitive_bridge,6400,0.037,0.0267,0.1897,0.4905,0.5652,0.0514,0.6002,3.1455,-0.3584,cascade
instruct,collapsed_q2_edge,tri_cognitive_heavy,6400,0.0195,0.0131,0.1366,0.457,0.6208,0.0558,0.6397,3.5275,-0.4118,cascade
instruct,collapsed_q2_edge,tri_cyber_heavy,6400,0.0288,0.0189,0.1661,0.4686,0.5859,0.0762,0.5848,3.3073,-0.3843,cascade
instruct,collapsed_q2_edge,tri_equal_routed,6400,0.0214,0.015,0.1436,0.4562,0.6134,0.0684,0.638,3.4397,-0.4057,cascade
instruct,collapsed_q2_edge,tri_naive_equal_all_fire,6400,0.0341,0.0194,0.1827,0.4691,0.5409,0.3125,0.6656,3.0744,-0.4124,cascade
instruct,collapsed_q2_edge,tri_naive_structural_heavy_all_fire,6400,0.19,0.1056,0.4397,0.6019,0.3441,0.2891,0.5914,1.6764,-0.1865,cascade
instruct,collapsed_q2_edge,tri_structural_heavy_55,6400,0.0577,0.0436,0.2459,0.5284,0.5014,0.0452,0.5866,2.7972,-0.3026,cascade
instruct,collapsed_q2_edge,tri_structural_heavy_60,6400,0.072,0.0544,0.277,0.5513,0.4758,0.0431,0.5769,2.6319,-0.2747,cascade
instruct,collapsed_q2_edge,tri_structural_heavy_65,6400,0.0889,0.0647,0.3001,0.5572,0.4572,0.035,0.5541,2.5055,-0.2491,cascade
instruct,damaged_q2,baseline,6400,0.0042,0.003,0.0555,0.2717,0.6466,0.0141,0.6098,4.3716,-0.4612,cascade
instruct,damaged_q2,cog_25_cyb_75,6400,0.0195,0.0142,0.1442,0.4886,0.5414,0.0798,0.5655,3.5684,-0.3878,cascade
instruct,damaged_q2,cog_25_str_75,6400,0.1542,0.1184,0.4114,0.6353,0.3377,0.0209,0.4984,2.0216,-0.128,cascade
instruct,damaged_q2,cog_40_cyb_60,6400,0.0189,0.013,0.1364,0.4813,0.5537,0.0781,0.5755,3.6267,-0.3962,cascade
instruct,damaged_q2,cog_40_str_60,6400,0.1039,0.0772,0.3504,0.6244,0.3683,0.0245,0.5228,2.353,-0.1977,cascade
instruct,damaged_q2,cog_50_cyb_50,6400,0.0159,0.0117,0.1321,0.4777,0.5528,0.072,0.5663,3.6603,-0.3968,cascade
instruct,damaged_q2,cog_50_str_50,6400,0.0727,0.0534,0.2968,0.5928,0.4041,0.0316,0.548,2.5917,-0.2475,cascade
instruct,damaged_q2,cog_60_cyb_40,6400,0.0139,0.0111,0.127,0.4827,0.5613,0.0752,0.5836,3.6844,-0.4032,cascade
instruct,damaged_q2,cog_60_str_40,6400,0.0591,0.0453,0.2574,0.5686,0.4267,0.0358,0.5737,2.8397,-0.2777,cascade
instruct,damaged_q2,cog_75_cyb_25,6400,0.0153,0.0103,0.1279,0.4738,0.5678,0.0716,0.5969,3.732,-0.4087,cascade
instruct,damaged_q2,cog_75_str_25,6400,0.0356,0.027,0.1985,0.5356,0.4775,0.047,0.5781,3.2094,-0.3323,cascade
instruct,damaged_q2,cognitive_only,6400,0.0073,0.0055,0.0841,0.3759,0.6156,0.052,0.6238,4.0756,-0.4433,cascade
instruct,damaged_q2,cyb_25_str_75,6400,0.1809,0.1345,0.4372,0.6434,0.3361,0.0284,0.4728,1.8913,-0.1044,cascade
instruct,damaged_q2,cyb_40_str_60,6400,0.13,0.1003,0.3781,0.6266,0.3773,0.037,0.4777,2.1633,-0.1667,cascade
instruct,damaged_q2,cyb_50_str_50,6400,0.1073,0.0805,0.3383,0.6133,0.3911,0.0536,0.4831,2.382,-0.2053,cascade
instruct,damaged_q2,cyb_60_str_40,6400,0.0814,0.0611,0.2968,0.5805,0.4181,0.0575,0.4988,2.5878,-0.2451,cascade
instruct,damaged_q2,cyb_75_str_25,6400,0.0533,0.0387,0.243,0.5595,0.4573,0.0702,0.5142,2.8978,-0.2985,cascade
instruct,damaged_q2,cyber_only,6400,0.0138,0.0098,0.1157,0.4184,0.568,0.083,0.5584,3.7684,-0.4102,cascade
instruct,damaged_q2,structural_only,6400,0.14,0.1045,0.3888,0.5858,0.3509,0.0164,0.4977,2.0972,-0.1487,cascade
instruct,damaged_q2,tri_boundary_heavy,6400,0.1714,0.1252,0.4284,0.6619,0.3398,0.0586,0.4836,1.9761,-0.126,cascade
instruct,damaged_q2,tri_cognitive_bridge,6400,0.1558,0.1103,0.4069,0.6613,0.3369,0.0516,0.5072,2.0855,-0.1459,cascade
instruct,damaged_q2,tri_cognitive_heavy,6400,0.0834,0.0609,0.3209,0.6062,0.3823,0.0523,0.5405,2.4978,-0.2324,cascade
instruct,damaged_q2,tri_cyber_heavy,6400,0.122,0.085,0.3676,0.6369,0.3645,0.0753,0.4939,2.253,-0.1916,cascade
instruct,damaged_q2,tri_equal_routed,6400,0.1013,0.0741,0.3458,0.6247,0.3827,0.063,0.5148,2.3575,-0.2124,cascade
instruct,damaged_q2,tri_naive_equal_all_fire,6400,0.1398,0.0823,0.3881,0.6341,0.3419,0.3089,0.5747,2.0266,-0.2293,cascade
instruct,damaged_q2,tri_naive_structural_heavy_all_fire,6400,0.4503,0.237,0.6687,0.7423,0.2227,0.2905,0.5133,0.7717,0.0325,none
instruct,damaged_q2,tri_structural_heavy_55,6400,0.1991,0.1405,0.4626,0.67,0.3066,0.0414,0.4998,1.8028,-0.0899,cascade
instruct,damaged_q2,tri_structural_heavy_60,6400,0.2417,0.1722,0.5067,0.6987,0.292,0.0458,0.4748,1.6245,-0.0438,cascade
instruct,damaged_q2,tri_structural_heavy_65,6400,0.2866,0.2003,0.5425,0.7164,0.2823,0.0403,0.4836,1.4587,-0.0041,cascade
instruct,damaged_q3,baseline,6400,0.0655,0.0567,0.273,0.5264,0.3139,0.0133,0.38,2.8545,-0.2132,cascade
instruct,damaged_q3,cog_25_cyb_75,6400,0.1664,0.128,0.4468,0.7298,0.26,0.0786,0.3673,2.0416,-0.0972,primitive_gap
instruct,damaged_q3,cog_25_str_75,6400,0.6336,0.4798,0.7879,0.8664,0.1491,0.0213,0.3253,0.5955,0.3751,none
instruct,damaged_q3,cog_40_cyb_60,6400,0.1558,0.1184,0.4395,0.7222,0.2641,0.0737,0.3798,2.0784,-0.1098,primitive_gap
instruct,damaged_q3,cog_40_str_60,6400,0.5106,0.3884,0.718,0.8439,0.1573,0.0241,0.3344,0.9083,0.2643,none
instruct,damaged_q3,cog_50_cyb_50,6400,0.1363,0.1003,0.4182,0.7169,0.2791,0.082,0.3955,2.1544,-0.1392,primitive_gap
instruct,damaged_q3,cog_50_str_50,6400,0.4213,0.3295,0.6637,0.8266,0.1736,0.0295,0.3477,1.1387,0.1868,none
instruct,damaged_q3,cog_60_cyb_40,6400,0.1508,0.1139,0.4235,0.7145,0.2634,0.0719,0.3981,2.157,-0.1192,primitive_gap
instruct,damaged_q3,cog_60_str_40,6400,0.3378,0.2591,0.6033,0.8036,0.1994,0.0348,0.3692,1.3789,0.0938,none
instruct,damaged_q3,cog_75_cyb_25,6400,0.1302,0.1013,0.4012,0.7006,0.2737,0.07,0.3977,2.2533,-0.1394,primitive_gap
instruct,damaged_q3,cog_75_str_25,6400,0.2309,0.1811,0.5191,0.7647,0.2353,0.045,0.3869,1.7319,-0.016,primitive_gap
instruct,damaged_q3,cognitive_only,6400,0.0922,0.0717,0.3405,0.6327,0.3053,0.052,0.4047,2.518,-0.1886,cascade
instruct,damaged_q3,cyb_25_str_75,6400,0.6458,0.4875,0.7977,0.8511,0.1484,0.0261,0.3136,0.5191,0.3867,none
instruct,damaged_q3,cyb_40_str_60,6400,0.5422,0.4077,0.7295,0.8177,0.1663,0.0394,0.3131,0.7959,0.2851,none
instruct,damaged_q3,cyb_50_str_50,6400,0.4786,0.3527,0.6916,0.8081,0.1752,0.0522,0.3336,0.9602,0.215,none
instruct,damaged_q3,cyb_60_str_40,6400,0.4161,0.3117,0.6472,0.7898,0.1933,0.0559,0.3289,1.1408,0.1592,none
instruct,damaged_q3,cyb_75_str_25,6400,0.3255,0.2356,0.5779,0.7678,0.2117,0.0737,0.3439,1.4478,0.0575,none
instruct,damaged_q3,cyber_only,6400,0.1412,0.102,0.3982,0.6562,0.2752,0.0797,0.3772,2.2255,-0.1379,cascade
instruct,damaged_q3,structural_only,6400,0.5839,0.4422,0.7561,0.8136,0.1594,0.0186,0.3184,0.6827,0.331,none
instruct,damaged_q3,tri_boundary_heavy,6400,0.6155,0.4455,0.7751,0.8561,0.1537,0.0595,0.3317,0.6245,0.3297,none
instruct,damaged_q3,tri_cognitive_bridge,6400,0.5991,0.4366,0.7697,0.8777,0.1583,0.0508,0.3369,0.6761,0.3182,none
instruct,damaged_q3,tri_cognitive_heavy,6400,0.4606,0.3402,0.6841,0.8414,0.185,0.0572,0.3613,1.0272,0.193,none
instruct,damaged_q3,tri_cyber_heavy,6400,0.5144,0.3613,0.7152,0.8189,0.1664,0.078,0.3394,0.8648,0.2253,none
instruct,damaged_q3,tri_equal_routed,6400,0.4856,0.3473,0.7007,0.8378,0.1731,0.0684,0.3555,0.9503,0.2058,none
instruct,damaged_q3,tri_naive_equal_all_fire,6400,0.5059,0.2787,0.7116,0.8111,0.1762,0.3027,0.4123,0.7095,0.0969,none
instruct,damaged_q3,tri_naive_structural_heavy_all_fire,6400,0.7923,0.412,0.8708,0.9003,0.1248,0.2838,0.3719,0.0912,0.2835,none
instruct,damaged_q3,tri_structural_heavy_55,6400,0.7083,0.513,0.8319,0.8961,0.1395,0.0448,0.3266,0.4084,0.4156,none
instruct,damaged_q3,tri_structural_heavy_60,6400,0.7473,0.543,0.8544,0.8956,0.1319,0.0383,0.3195,0.308,0.4548,none
instruct,damaged_q3,tri_structural_heavy_65,6400,0.7786,0.5672,0.8741,0.9089,0.1261,0.0386,0.3113,0.2334,0.4851,none
instruct,damaged_q4,baseline,6400,0.1733,0.1464,0.4525,0.6597,0.1906,0.0123,0.3066,2.0605,-0.0408,primitive_gap
instruct,damaged_q4,cog_25_cyb_75,6400,0.3777,0.282,0.6306,0.8136,0.1539,0.0864,0.2888,1.3167,0.1296,none
instruct,damaged_q4,cog_25_str_75,6400,0.8662,0.6581,0.9257,0.9598,0.0961,0.02,0.2589,0.0902,0.6001,none
instruct,damaged_q4,cog_40_cyb_60,6400,0.375,0.2808,0.6311,0.8291,0.1577,0.0809,0.3072,1.3297,0.1262,none
instruct,damaged_q4,cog_40_str_60,6400,0.8123,0.612,0.8902,0.9481,0.1017,0.0269,0.2742,0.25,0.5417,none
instruct,damaged_q4,cog_50_cyb_50,6400,0.3469,0.2548,0.6175,0.8394,0.1702,0.0814,0.3216,1.382,0.0927,none
instruct,damaged_q4,cog_50_str_50,6400,0.7405,0.5695,0.851,0.9375,0.1069,0.03,0.2762,0.4319,0.4878,none
instruct,damaged_q4,cog_60_cyb_40,6400,0.3344,0.2517,0.6112,0.8319,0.1642,0.0762,0.3117,1.4206,0.0912,none
instruct,damaged_q4,cog_60_str_40,6400,0.6411,0.4889,0.796,0.9156,0.1178,0.0414,0.2933,0.663,0.3887,none
instruct,damaged_q4,cog_75_cyb_25,6400,0.3153,0.2453,0.5998,0.8264,0.1613,0.0703,0.3139,1.4878,0.0834,primitive_gap
instruct,damaged_q4,cog_75_str_25,6400,0.4877,0.3862,0.7152,0.8809,0.1319,0.0392,0.282,1.0095,0.2658,none
instruct,damaged_q4,cognitive_only,6400,0.2341,0.1858,0.522,0.7595,0.1859,0.0514,0.3111,1.7909,0.0053,primitive_gap
instruct,damaged_q4,cyb_25_str_75,6400,0.8442,0.6509,0.914,0.9275,0.0941,0.0241,0.2481,0.1202,0.592,none
instruct,damaged_q4,cyb_40_str_60,6400,0.7887,0.5983,0.8784,0.9009,0.1045,0.0414,0.2587,0.2508,0.5254,none
instruct,damaged_q4,cyb_50_str_50,6400,0.7397,0.5633,0.8495,0.8903,0.1067,0.0489,0.2545,0.3817,0.482,none
instruct,damaged_q4,cyb_60_str_40,6400,0.6813,0.5159,0.8169,0.8761,0.1114,0.0544,0.2522,0.5205,0.4254,none
instruct,damaged_q4,cyb_75_str_25,6400,0.5719,0.4234,0.7506,0.8506,0.1291,0.0716,0.2775,0.7817,0.3091,none
instruct,damaged_q4,cyber_only,6400,0.3181,0.2452,0.5851,0.773,0.1641,0.0744,0.2898,1.4867,0.0835,none
instruct,damaged_q4,structural_only,6400,0.8356,0.65,0.9073,0.9175,0.0953,0.0167,0.2562,0.1377,0.5907,none
instruct,damaged_q4,tri_boundary_heavy,6400,0.8458,0.6222,0.9114,0.9405,0.0947,0.06,0.2575,0.1456,0.5539,none
instruct,damaged_q4,tri_cognitive_bridge,6400,0.8453,0.6231,0.9146,0.9595,0.1033,0.0497,0.2639,0.1334,0.5544,none
instruct,damaged_q4,tri_cognitive_heavy,6400,0.7805,0.5678,0.8738,0.9492,0.1075,0.06,0.2848,0.3222,0.4847,none
instruct,damaged_q4,tri_cyber_heavy,6400,0.7684,0.5644,0.8649,0.8984,0.1125,0.0742,0.2636,0.3033,0.4795,none
instruct,damaged_q4,tri_equal_routed,6400,0.7644,0.5473,0.8668,0.9245,0.1036,0.0714,0.285,0.3312,0.4626,none
instruct,damaged_q4,tri_naive_equal_all_fire,6400,0.7631,0.4167,0.8551,0.9061,0.1184,0.3042,0.3169,0.2048,0.2848,none
instruct,damaged_q4,tri_naive_structural_heavy_all_fire,6400,0.8639,0.4612,0.9072,0.9673,0.0934,0.2963,0.3084,0.0464,0.347,none
instruct,damaged_q4,tri_structural_heavy_55,6400,0.8794,0.6605,0.9325,0.9658,0.0892,0.0455,0.2497,0.0748,0.6009,none
instruct,damaged_q4,tri_structural_heavy_60,6400,0.8806,0.6509,0.9343,0.9703,0.0887,0.0416,0.2644,0.0641,0.5916,none
instruct,damaged_q4,tri_structural_heavy_65,6400,0.8866,0.6698,0.938,0.973,0.0873,0.0366,0.2436,0.0591,0.6139,none
instruct,healthy_q6,baseline,6400,0.4275,0.3684,0.6667,0.7667,0.1003,0.0117,0.192,1.1998,0.2606,none
instruct,healthy_q6,cog_25_cyb_75,6400,0.7003,0.5387,0.8297,0.9033,0.0875,0.0864,0.2213,0.5242,0.4513,none
instruct,healthy_q6,cog_25_str_75,6400,0.9155,0.7486,0.9542,0.9895,0.0648,0.0177,0.1884,0.0481,0.7081,none
instruct,healthy_q6,cog_40_cyb_60,6400,0.7086,0.5442,0.8349,0.9237,0.0905,0.0823,0.2156,0.5248,0.4571,none
instruct,healthy_q6,cog_40_str_60,6400,0.92,0.7389,0.9541,0.9888,0.0608,0.0223,0.1969,0.0519,0.6979,none
instruct,healthy_q6,cog_50_cyb_50,6400,0.7016,0.5381,0.8289,0.9231,0.0872,0.0744,0.2302,0.5561,0.4509,none
instruct,healthy_q6,cog_50_str_50,6400,0.917,0.7203,0.9529,0.9906,0.0642,0.0294,0.208,0.0502,0.676,none
instruct,healthy_q6,cog_60_cyb_40,6400,0.6941,0.5334,0.8276,0.9355,0.092,0.0705,0.2297,0.57,0.4449,none
instruct,healthy_q6,cog_60_str_40,6400,0.9145,0.7103,0.9505,0.9898,0.0606,0.0336,0.217,0.0636,0.6649,none
instruct,healthy_q6,cog_75_cyb_25,6400,0.6858,0.5333,0.8227,0.9419,0.087,0.0644,0.2255,0.613,0.4456,none
instruct,healthy_q6,cog_75_str_25,6400,0.8711,0.6769,0.9215,0.9783,0.0748,0.0408,0.2206,0.1853,0.6194,none
instruct,healthy_q6,cognitive_only,6400,0.5514,0.4338,0.7474,0.8802,0.1056,0.0506,0.2402,0.9,0.3277,none
instruct,healthy_q6,cyb_25_str_75,6400,0.9194,0.74,0.954,0.987,0.0611,0.0277,0.1861,0.0527,0.6986,none
instruct,healthy_q6,cyb_40_str_60,6400,0.9177,0.7327,0.9515,0.9769,0.0603,0.0428,0.185,0.0561,0.6884,none
instruct,healthy_q6,cyb_50_str_50,6400,0.9027,0.7197,0.9455,0.9666,0.0669,0.0489,0.1841,0.0648,0.6719,none
instruct,healthy_q6,cyb_60_str_40,6400,0.8939,0.6955,0.9389,0.9519,0.0652,0.0597,0.1975,0.08,0.6442,none
instruct,healthy_q6,cyb_75_str_25,6400,0.8516,0.6492,0.912,0.9261,0.0694,0.0717,0.2122,0.1791,0.5881,none
instruct,healthy_q6,cyber_only,6400,0.6411,0.4936,0.7932,0.8703,0.0912,0.0789,0.2219,0.6611,0.3996,none
instruct,healthy_q6,structural_only,6400,0.9219,0.7627,0.9561,0.9858,0.0595,0.0153,0.1784,0.047,0.7251,none
instruct,healthy_q6,tri_boundary_heavy,6400,0.9219,0.7192,0.9539,0.9892,0.0584,0.055,0.1973,0.0548,0.6722,none
instruct,healthy_q6,tri_cognitive_bridge,6400,0.9173,0.7133,0.9529,0.9891,0.0653,0.0523,0.1986,0.05,0.6648,none
instruct,healthy_q6,tri_cognitive_heavy,6400,0.9155,0.6997,0.952,0.99,0.0661,0.0592,0.2095,0.0497,0.6488,none
instruct,healthy_q6,tri_cyber_heavy,6400,0.9097,0.6883,0.9481,0.9741,0.0658,0.0816,0.2011,0.0556,0.6334,none
instruct,healthy_q6,tri_equal_routed,6400,0.908,0.6963,0.9494,0.9848,0.0698,0.0661,0.2006,0.0545,0.6433,none
instruct,healthy_q6,tri_naive_equal_all_fire,6400,0.8678,0.4753,0.91,0.9712,0.0894,0.3108,0.2594,0.0547,0.3629,none
instruct,healthy_q6,tri_naive_structural_heavy_all_fire,6400,0.8912,0.5019,0.9206,0.9884,0.0766,0.2938,0.2511,0.0492,0.3976,none
instruct,healthy_q6,tri_structural_heavy_55,6400,0.9302,0.728,0.9578,0.9903,0.0534,0.042,0.1981,0.0452,0.6854,none
instruct,healthy_q6,tri_structural_heavy_60,6400,0.9283,0.7373,0.9566,0.9897,0.0547,0.0389,0.1906,0.0517,0.6953,none
