"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","2","6","0.3333","0.3333","False","given_pages,given_printers","**Setup:** Rate of one printer = \( \frac{480\text{ pages}}{6\text{ min} \times 4\text{ printers}} = 20\text{ pages/min} \). For 3 printers, rate = \( 3 \times 20 = 60\text{ pages/"
"compute_printer_rate","math","memory","4","6","0.6667","0.6667","False","given_pages,given_printers,answer,units","**Setup:** 4 printers ? 6 min ? 480 pages 3 printers ? ? min ? 720 pages **Calculation:** Pages per minute for one printer = (480 pages) / (4 printers ? 6 min) = 20 pages/min. For "
"compute_discount_tax","math","baseline","5","6","0.8333","0.8333","False","original_price,discount,discounted_price,tax,tax_amount","**Final Price:** $64.00 **Steps:** 1. Discounted price = $80 ? (1 ? 0.25) = $60. 2. Sales tax = $60 ? 0.08 = $4.80. 3. Final price = $60 + $4.80 = **$64.00**. **Uncertainty:** The "
"compute_discount_tax","math","memory","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","**Final Price:** $64.80 **Steps:** 1. Discounted price = $80 ? (1 ? 0.25) = $60 2. Sales tax = $60 ? 0.08 = $4.80 3. Final price = $60 + $4.80 = **$64.80** **Uncertainty:** None; c"
"compute_weighted_average","math","baseline","6","6","1","1","False","old_total,new_scores,combined_total,count,answer,average","**Setup:** Total sum of first three scores = \(3 \times 82 = 246\). Sum of all five scores = \(246 + 90 + 76 = 412\). Average across 5 tests = \(\frac{412}{5} = 82.4\). **Uncertain"
"compute_weighted_average","math","memory","3","6","0.5","0.5","False","new_scores,count,average","The student's scores are 82, 90, 76, and two unknown scores (let's call them x1 and x2). The average of all five is (82 + 90 + 76 + x1 + x2) / 5. We know the first four scores sum "
"compute_inventory_available","math","baseline","3","6","0.5","0.5","False","start,received,reserved","**Available Units:** 150 ? 18 + 65 ? 20 = **137 units**. **Uncertainty/Next Action:** - Daily sales (18) are assumed constant; actual demand may vary. - Reservations for a client c"
"compute_inventory_available","math","memory","3","6","0.5","0.5","False","start,received,reserved","Units Available = 150 - (18 ? 4) + 65 - 20 = 97 units. Uncertainty: None; calculation is straightforward. Next action: Report available units to client or manager."
"compute_schedule_finish","math","baseline","1","5","0.2","0.2","False","durations","**Time:** 10:20 AM **Uncertainty:** None (all times are exact). **Next Action:** None required for this task."
"compute_schedule_finish","math","memory","2","5","0.4","0.4","False","start_time,durations","9:15 AM + 45 min = 9:60 AM +70 min = 10:30 AM +10 min break = 10:40 AM +35 min = 11:15 AM **Answer:** 11:15 AM"
"compute_ratio_mixture","math","baseline","2","6","0.3333","0.3333","False","ratio,total_check","**Concentrate:** 14 L **Water:** 28 L *Uncertainty:* The ratio is exact (2:5), so no additional uncertainty is needed. *Next Action:* Mix the calculated volumes to achieve a total "
"compute_ratio_mixture","math","memory","2","6","0.3333","0.3333","False","ratio,total_check","**Task:** A cleaning mix uses concentrate and water in a 2:5 ratio. If you need 42 liters total, how many liters of concentrate and water are needed? **Answer:** Concentrate: **14 "
"compute_average_speed","math","baseline","6","6","1","1","False","first_time,second_time,total_distance,total_time,answer,units","**Distance:** - Leg 1: 150 km at 60 km/h ? Time = Distance / Speed = 150 / 60 = **2.5 hours**. - Leg 2: 90 km at 45 km/h ? Time = 90 / 45 = **2 hours**. **Total distance:** 150 + 9"
"compute_average_speed","math","memory","6","6","1","1","False","first_time,second_time,total_distance,total_time,answer,units","**Distance:** 150 km + 90 km = **240 km** **Time for first leg:** 150 km ? 60 km/h = **2.5 hours** **Time for second leg:** 90 km ? 45 km/h = **2 hours** **Total time:** 2.5 h + 2 "
"compute_linear_equation","math","baseline","4","5","0.8","0.8","False","expand,combine,add_12,divide","**Solution:** Expand and combine like terms: \[ 3(x - 4) + 2x = 46 \\ 3x - 12 + 2x = 46 \\ 5x - 12 = 46 \\ 5x = 58 \\ x = \frac{58}{5} = 11.6 \] **Uncertainty:** The problem is str"
"compute_linear_equation","math","memory","4","5","0.8","0.8","False","expand,combine,add_12,divide","**Task:** Solve for x: 3(x - 4) + 2x = 46. Show the algebra briefly. **Solution:** Expand: 3x - 12 + 2x = 46 ? Combine like terms: 5x - 12 = 46 ? Add 12 to both sides: 5x = 58 ? Di"
