"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","5","6","0.8333","0.8333","False","given_pages,given_printers,per_printer_rate,answer,units","Given: 4 printers make 480 pages in 6 minutes. Rate per printer: 480 pages / (4 printers ? 6 minutes) = 20 pages per printer per minute. Total time needed: 720 pages / (3 printers "
"compute_printer_rate","math","memory","3","6","0.5","0.3","True","given_pages,answer,units","Four printers make 480 pages in 6 minutes, so one printer makes 120 pages in 6 minutes. Three printers make 360 pages in 6 minutes. To make 720 pages, which is double 360 pages, th"
"compute_discount_tax","math","baseline","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","The item costs $80. A 25% discount reduces the price by $20 (0.25 ? 80), leaving a discounted price of $60. An 8% sales tax is then applied to $60, adding $4.80 (0.08 ? 60). The fi"
"compute_discount_tax","math","memory","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","Start with the item cost of $80. Apply the 25% discount to $80, which reduces the price to $60. Apply the 8% sales tax to the discounted price of $60, which adds $4.80. The final p"
"compute_weighted_average","math","baseline","6","6","1","1","False","old_total,new_scores,combined_total,count,answer,average","The first three scores sum to 246 (3 times 82). Adding the next two scores of 90 and 76 gives a total of 412 across all 5 tests. The average is 82.4."
"compute_weighted_average","math","memory","5","6","0.8333","0.8333","False","old_total,new_scores,combined_total,answer,average","The sum of the first three scores is 3 times 82, which equals 246. Adding the next two scores, 90 and 76, gives a total sum of 246 plus 90 plus 76, which equals 412. Dividing the t"
"compute_inventory_available","math","baseline","6","6","1","1","False","start,sold,received,reserved,setup,answer","Starting with 150 units, selling 18 units per day for 4 days removes 72 units (18 ? 4 = 72), leaving 78 units (150 - 72 = 78). Adding the received 65 units brings the total to 143 "
"compute_inventory_available","math","memory","6","6","1","1","False","start,sold,received,reserved,setup,answer","Start with 150 units, subtract 18 units per day for 4 days (18 ? 4 = 72 units), add 65 units, and subtract 20 units. The calculation is 150 - 72 + 65 - 20 = 123 units. The final an"
"compute_schedule_finish","math","baseline","5","5","1","1","False","start_time,durations,total_minutes,hour_rollover,answer","The job starts at 9:15 AM. Phase 1 takes 45 minutes, phase 2 takes 70 minutes, the break takes 10 minutes, and phase 3 takes 35 minutes. Adding these durations together: 45 + 70 + "
"compute_schedule_finish","math","memory","3","5","0.6","0.6","False","start_time,durations,answer","Starting at 9:15 AM, add 45 minutes to reach 10:00 AM. Add 70 minutes (1 hour 10 minutes) to reach 11:10 AM. Add a 10-minute break to reach 11:20 AM. Add 35 minutes to reach 11:55 "
