"task_id","family","mode","hits","total","rate","penalized_rate","looping","hit_ids","response_preview"
"compute_printer_rate","math","baseline","4","6","0.6667","0.6667","False","given_pages,given_printers,combined_rate,units","**Setup:** Given: 4 printers ? 480 pages in 6 minutes. Step 1: Find pages per minute for one printer. Pages per minute = \( \frac{480}{4} = 120 \) pages/minute. Step 2: Pages per m"
"compute_printer_rate","math","memory","4","6","0.6667","0.6667","False","given_pages,given_printers,per_printer_rate,units","**Setup:** 4 printers ? 480 pages in 6 min 1 printer ? 480 ? 4 = 120 pages per minute **Arithmetic lines:** - Pages per minute for one printer: \( \frac{480}{4} = 120 \) - Time nee"
"compute_discount_tax","math","baseline","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","1. Original price = $80 2. Discounted price = 80 ? (1 ? 0.25) = 60 3. Tax amount = 60 ? 0.08 = 4.80 4. Final price = 60 + 4.80 = 64.80 Final answer: $64.80"
"compute_discount_tax","math","memory","6","6","1","1","False","original_price,discount,discounted_price,tax,tax_amount,answer","1. Original Price = $80 2. Discounted Price = 80 ? (1 ? 0.25) = 60 3. Tax Amount = 60 ? 0.08 = 4.80 4. Final Price = 60 + 4.80 = 64.80 Answer: $64.80"
"compute_weighted_average","math","baseline","3","6","0.5","0.5","False","new_scores,count,average","The average of 5 tests is calculated as follows: (82 + 90 + 76) / 5 = 248 / 5 = 49.6 Final answer: 49.6"
"compute_weighted_average","math","memory","6","6","1","1","False","old_total,new_scores,combined_total,count,answer,average","**Setup:** Total points = (3 ? 82) + 90 + 76 = 246 + 166 = 412 Average for 5 tests = 412 ? 5 **Answer:** 82.4"
"compute_inventory_available","math","baseline","3","6","0.5","0.5","False","start,received,reserved","150 - 18 + 65 - 20 = 137 units"
"compute_inventory_available","math","memory","3","6","0.5","0.5","False","start,received,reserved","150 - (18 ? 4) + 65 - 20 = 137 units"
"compute_schedule_finish","math","baseline","2","5","0.4","0.4","False","start_time,durations","9:15 AM + 45 minutes = 9:60 AM 9:60 AM + 70 minutes = 10:30 AM 10:30 AM + 10 minutes = 10:40 AM 10:40 AM + 35 minutes = 11:15 AM Final answer: 11:15 AM"
"compute_schedule_finish","math","memory","2","5","0.4","0.4","False","start_time,durations","9:15 AM + 45 min = 9:60 AM 9:60 AM + 70 min = 10:30 AM 10:30 AM + 10 min = 10:40 AM 10:40 AM + 35 min = 11:15 AM Final answer: 11:15 AM"
"compute_ratio_mixture","math","baseline","3","6","0.5","0.5","False","parts,concentrate,water","**Arithmetic Lines:** 1. Total ratio parts = 2 + 5 = 7 parts. 2. Concentrate part = (2/7) ? 42 L = 12 L. 3. Water part = (5/7) ? 42 L = 30 L. **Final Answer:** Concentrate: 12 lite"
