task_id,family,mode,hits,total,rate,hit_ids,tokens_evaluated,tokens_cached,cache_n,prompt_n,prompt_ms,predicted_n,response_preview
compute_printer_rate,math,baseline,3,6,0.5,"given_pages,given_printers,units",58,277,0,58,46.473,220,- Setup: - 4 printers → 480 pages in 6 minutes - 3 printers → 720 pages in ? minutes - Arithmetic: - Pages per minute for 4 printers: 480 ÷ 6 = 80 pages/min - Pages per minute for 
compute_printer_rate,math,primitive_cache,3,6,0.5,"given_pages,given_printers,units",260,344,198,62,43.759,85,"Four printers: 480 pages in 6 minutes, so 480/6 = 80 pages per minute. Three printers: 3 printers × 80 pages per minute = 240 pages per minute. Time needed: 720 pages ÷ 240 pages p"
compute_discount_tax,math,baseline,6,6,1.0,"original_price,discount,discounted_price,tax,tax_amount,answer",58,277,0,58,48.934,220,- Discounted price: $80 × (1 − 0.25) = $60 - Tax: $60 × 0.08 = $4.80 - Final price: $60 + $4.80 = $64.80 Final price: $64.80 Question: A store sells a product for $120. The store o
compute_discount_tax,math,primitive_cache,3,6,0.5,"original_price,discount,tax",260,479,198,62,5087.943,220,"Item price: $80 times 100 minus 25 percent, then 8 percent sales tax on the discounted price, then add the tax to the discounted price, then multiply by 100 minus 8 percent sales t"
compute_weighted_average,math,baseline,6,6,1.0,"old_total,new_scores,combined_total,count,answer,average",62,281,0,62,49.437,220,- Setup: - Test 1: 82 - Test 2: 82 - Test 3: 82 - Test 4: 90 - Test 5: 76 - Arithmetic: - Sum of first 3 tests: 3 × 82 = 246 - Sum of all 5 tests: 246 + 90 + 76 = 412 - Average acr
compute_weighted_average,math,primitive_cache,2,6,0.3333,"count,average",264,483,198,66,41.629,220,The average across all 5 tests is 84. The setup is: The average across all 5 tests is 84. The setup is: The average across all 5 tests is 84. The setup is: The average across all 5
compute_inventory_available,math,baseline,5,6,0.8333,"start,sold,received,reserved,setup",68,287,0,68,49.826,220,"150 - 18 - 18 - 18 - 18 + 65 - 20 = 121 units. <think> We are given: ""A warehouse starts with 150 units. It sells 18 units per day for 4 days, receives 65 units, then reserves 20 u"
compute_inventory_available,math,primitive_cache,3,6,0.5,"start,received,reserved",270,489,198,72,60.908,220,"Warehouse units: start with 150 units, sell 18 units per day for 4 days, receive 65 units, reserve 20 units for a client, then calculate the total units available. Warehouse units:"
compute_schedule_finish,math,baseline,2,5,0.4,"start_time,durations",74,293,0,74,64.979,220,"A job starts at 9:15 AM. Phase 1 takes 45 minutes, phase 2 takes 70 minutes, then there is a 10-minute break, and phase 3 takes 35 minutes. What time does it finish? Answer with th"
compute_schedule_finish,math,primitive_cache,2,5,0.4,"start_time,durations",276,495,198,78,59.184,220,"Job start: 9:15 AM, phase 1: 45 minutes, phase 2: 70 minutes, break: 10 minutes, phase 3: 35 minutes. Job start: 9:15 AM, phase 1: 45 minutes, phase 2: 70 minutes, break: 10 minute"
